nsec_since_jan_1900,city_ref_co2_ppm,rural_ref_co2_ppm,date
3931210800,446.7464361,717.5960185,29/07/2024 03:00
3931214400,444.1420214,776.5813754,29/07/2024 04:00
3931218000,455.8377086,633.1136579,29/07/2024 05:00
3931221600,437.9951233,484.7947152,29/07/2024 06:00
3931225200,427.8266336,442.3690923,29/07/2024 07:00
3931228800,420.8491289,424.4324947,29/07/2024 08:00
3931232400,415.5760356,417.7898021,29/07/2024 09:00
3931236000,412.3314944,414.5182599,29/07/2024 10:00
3931239600,412.5445972,414.7846519,29/07/2024 11:00
3931243200,412.5063736,414.0325763,29/07/2024 12:00
3931246800,413.5456419,413.6373336,29/07/2024 13:00
3931250400,414.4382825,415.5493229,29/07/2024 14:00
3931254000,413.7991811,422.8715213,29/07/2024 15:00
3931257600,413.6364108,420.3255156,29/07/2024 16:00
3931261200,413.113195,402.7426445,29/07/2024 17:00
3931264800,414.5178331,386.2236378,29/07/2024 18:00
3931268400,418.6973967,426.3407401,29/07/2024 19:00
3931272000,424.2819369,465.7252789,29/07/2024 20:00
3931275600,425.1965497,570.7843222,29/07/2024 21:00
3931279200,427.6969881,612.8591678,29/07/2024 22:00
3931282800,430.5036206,633.7413868,29/07/2024 23:00
